date,home_team,away_team,home_score,away_score,tournament,neutral
2018-10-13,Serbia,Uzbekistan,5,1,Friendly,0
2018-10-14,Serbia,France,2,3,Friendly,0
2018-10-14,United States,Ecuador,0,0,Friendly,0
2018-10-15,Serbia,Canada,1,0,Qualifier,1
2018-10-16,Switzerland,South Korea,3,1,Friendly,1
2018-10-17,Spain,Australia,5,0,Friendly,0
2018-10-17,Serbia,South Korea,1,2,Qualifier,0
2018-10-18,Mexico,Spain,0,2,Qualifier,0
2018-10-19,Iran,Poland,3,0,Qualifier,0
2018-10-20,Qatar,Iraq,1,2,Qualifier,0
2018-10-20,Iran,Ecuador,0,2,Qualifier,0
2018-10-21,Saudi Arabia,United States,2,1,Qualifier,1
2018-10-22,Portugal,Ghana,5,0,Friendly,0
2018-10-22,South Korea,Canada,0,0,Friendly,0
2018-10-23,England,Algeria,5,1,Friendly,1
2018-10-24,Jamaica,Panama,0,0,Friendly,0
2018-10-25,Croatia,Ukraine,4,1,Friendly,0
2018-10-25,Ghana,Morocco,1,3,Friendly,0
2018-10-26,Qatar,Netherlands,1,3,Qualifier,0
2018-10-27,Brazil,Costa Rica,12,0,Qualifier,1
2018-10-28,Ecuador,Iraq,3,1,Qualifier,0
2018-10-28,Panama,Iraq,3,2,Qualifier,0
2018-10-29,France,Belgium,4,1,Qualifier,0
2018-10-30,Japan,Belgium,1,0,Friendly,0
2018-10-30,Uzbekistan,Brazil,0,0,Qualifier,1
2018-10-31,Algeria,Morocco,0,1,Friendly,0
2018-11-01,Ghana,Ivory Coast,1,1,Qualifier,0
2018-11-02,Iran,Canada,3,1,Qualifier,0
2018-11-02,Belgium,Croatia,3,0,Qualifier,0
2018-11-03,South Korea,Tunisia,3,0,Qualifier,0
2018-11-04,Jamaica,Bolivia,2,0,Qualifier,0
2018-11-05,Morocco,Colombia,3,1,Qualifier,0
2018-11-05,Algeria,Austria,0,0,Qualifier,0
2018-11-06,Australia,Cameroon,1,0,Qualifier,0
2018-11-07,Qatar,Paraguay,0,0,Friendly,1
2018-11-07,Denmark,Austria,3,1,Friendly,0
2018-11-08,Senegal,Turkey,2,2,Qualifier,0
2018-11-09,Senegal,Australia,2,0,Qualifier,1
2018-11-10,Germany,Panama,4,1,Friendly,0
2018-11-10,Argentina,Turkey,3,0,Friendly,0
2018-11-11,South Korea,Uruguay,0,2,Friendly,0
2018-11-12,Australia,Bolivia,2,0,Friendly,0
2018-11-13,Panama,Saudi Arabia,0,1,Qualifier,0
2018-11-13,Australia,Egypt,1,1,Qualifier,0
2018-11-14,Netherlands,Turkey,1,2,Friendly,0
2018-11-15,Morocco,Netherlands,2,0,Friendly,0
2018-11-16,Canada,Ivory Coast,1,1,Friendly,0
2018-11-16,Austria,Nigeria,8,2,Qualifier,0
2018-11-17,Croatia,Ecuador,4,3,Qualifier,1
2018-11-18,Uzbekistan,Cameroon,2,0,Friendly,0
2018-11-18,Austria,DR Congo,1,0,Qualifier,0
2018-11-19,Panama,Switzerland,1,2,Friendly,0
2018-11-20,Portugal,France,0,1,Friendly,0
2018-11-21,England,Ghana,8,0,Qualifier,1
2018-11-21,Ghana,DR Congo,1,2,Qualifier,0
2018-11-22,Switzerland,Uzbekistan,2,0,Friendly,1
2018-11-23,Italy,Netherlands,3,0,Friendly,0
2018-11-24,Germany,Morocco,2,1,Qualifier,0
2018-11-24,Portugal,Poland,0,0,Qualifier,0
2018-11-25,Ecuador,Uzbekistan,5,1,Friendly,0
2018-11-26,Turkey,DR Congo,3,0,Friendly,0
2018-11-26,Algeria,Nigeria,2,2,Qualifier,0
2018-11-27,Spain,Brazil,1,0,Qualifier,0
2018-11-28,Qatar,Brazil,1,3,Qualifier,1
2018-11-29,Uruguay,Australia,3,0,Qualifier,0
2018-11-29,Italy,Brazil,0,0,Qualifier,0
2018-11-30,New Zealand,Switzerland,1,4,Qualifier,1
2018-12-01,New Zealand,Panama,1,0,Qualifier,0
2018-12-02,Japan,Cameroon,3,0,Friendly,1
2018-12-02,Cameroon,DR Congo,2,2,Qualifier,0
2018-12-03,Spain,Algeria,4,0,Qualifier,0
2018-12-04,Bolivia,Denmark,0,2,Qualifier,0
2018-12-04,Netherlands,Iran,4,0,Friendly,0
2018-12-05,Egypt,Turkey,0,0,Friendly,1
2018-12-06,United States,Serbia,0,1,Friendly,0
2018-12-07,Poland,Iran,3,3,Friendly,0
2018-12-07,Canada,Colombia,1,1,Qualifier,1
2018-12-08,Ecuador,Germany,1,1,Friendly,0
2018-12-09,Saudi Arabia,Italy,0,2,Qualifier,0
2018-12-10,Austria,Switzerland,0,0,Qualifier,0
2018-12-10,Brazil,Bolivia,4,0,Friendly,0
2018-12-11,Argentina,Algeria,5,0,Friendly,1
2018-12-12,Germany,Austria,1,1,Qualifier,0
2018-12-13,Senegal,Ukraine,0,1,Friendly,0
2018-12-13,Paraguay,Ecuador,4,2,Qualifier,0
2018-12-14,Belgium,DR Congo,4,1,Qualifier,0
2018-12-15,Canada,Uruguay,0,1,Qualifier,0
2018-12-15,Nigeria,Germany,2,2,Qualifier,0
2018-12-16,Canada,Ivory Coast,1,0,Qualifier,0
2018-12-17,Cameroon,Algeria,0,1,Qualifier,1
2018-12-18,Netherlands,Australia,3,0,Friendly,0
